halt_punkt_id;halt_punkt_diva;halt_id;GPS_Latitude;GPS_Longitude;GPS_Bearing;halt_punkt_ist_aktiv
4239;0;1890;47,377488;8,543169;278;FALSE
4244;1;1893;47,364421;8,531487;16;TRUE
4258;4;1895;47,376111;8,539499;19;FALSE
4273;50;1904;47,317302;8,549636;80;FALSE
4275;0;1905;47,364034;8,566205;44;FALSE
4283;80;1906;47,374184;8,520656;137;FALSE
6118;80;1907;47,336901;8,52043;91;FALSE
6121;0;1908;47,369399;8,506127;260;FALSE
4294;51;1909;47,321856;8,535232;30;FALSE
4296;50;1911;47,320015;8,540657;154;TRUE
4304;50;1916;47,425235;8,553451;214;TRUE
4310;22;1919;47,413107;8,546227;140;FALSE
4322;50;1920;47,414249;8,585899;91;TRUE
4340;50;1928;47,418063;8,561663;122;FALSE
4349;50;1931;47,421259;8,557105;211;TRUE
4359;23;1934;47,419645;8,548231;38;TRUE
4372;11;1938;47,376997;8,543729;268;FALSE
4411;50;1949;47,430768;8,573689;168;TRUE
4427;51;1959;47,402579;8,400883;67;TRUE
4538;50;2007;47,394814;8,44141;85;TRUE
4540;50;2008;47,402549;8,627514;226;TRUE
4543;50;2009;47,389776;8,384956;335;TRUE
4545;50;2010;47,418021;8,415169;211;TRUE
4547;50;2011;47,343738;8,567351;300;TRUE
4549;50;2013;47,429378;8,35968;139;TRUE
4551;50;2014;47,42538;8,364714;130;TRUE
4553;51;2015;47,427136;8,364506;310;TRUE
4555;50;2016;47,414942;8,44587;124;TRUE
4558;50;2018;47,409081;8,397794;12;TRUE
4560;11;2019;47,39858;8,454106;273;FALSE
4562;51;2020;47,427896;8,394832;355;FALSE
4565;51;2021;47,410511;8,405099;347;FALSE
4568;0;2022;47,388461;8,540536;167;FALSE
4570;0;2023;47,337386;8,531065;96;FALSE
4574;0;2025;47,346876;8,532914;167;TRUE
4582;51;2027;47,394573;8,6176;346;TRUE
4585;50;2028;47,417447;8,440153;118;TRUE
4587;50;2029;47,42296;8,404286;126;TRUE
4595;50;2033;47,397019;8,432986;94;TRUE
4597;51;2034;47,421036;8,409606;304;TRUE
4601;90;2035;47,372921;8,538281;;FALSE
4605;50;2036;47,408936;8,463008;118;TRUE
4609;51;2038;47,400367;8,410501;298;TRUE
4612;51;2039;47,398446;8,411181;292;TRUE
4614;50;2040;47,391564;8,617136;173;TRUE
4618;50;2042;47,40273;8,405456;127;FALSE
4622;52;2043;47,398067;8,446942;254;TRUE
4630;50;2044;47,391129;8,423339;82;TRUE
4632;0;2045;47,395598;8,540048;198;FALSE
4636;92;2046;47,406259;8,563269;;TRUE
4642;0;2047;47,382748;8,54349;174;TRUE
4647;50;2048;47,407702;8,393794;122;TRUE
4650;50;2050;47,39466;8,4384;81;TRUE
4654;80;2052;47,401474;8,58161;;FALSE
4658;82;2053;47,389058;8,618564;135;FALSE
4663;53;2054;47,404879;8,403349;44;FALSE
4665;50;2055;47,405564;8,390271;138;TRUE
4666;51;2056;47,418234;8,39287;322;FALSE
